prompt,completion
o pilin uta e ni.,Taste this.
You haven't eaten.,sina moku ala.
The dog wants to go outside.,soweli li wile tawa tan tomo.
I know a guy who's never seen snow.,mi sona e mije. tenpo ala la ona li lukin e ko lete.
seme anu sina sona e ijo ona?,"You know about them, don't you?"
My whole family's from Boston.,jan ali pi kulupu mama mi li tan ma tomo Pasen.
Tom and I gave Mary that.,"Ton en mi li pana e ni, tawa Meli."
mi wile lape.,We need to rest.
jan li kama jan lili kon kepeken nasin seme?,How does one become a fairy?
I don't need your protection.,mi wile e ni: sina pana ala e pona tawa mi.
meli sama mi li kama jo ike e len mi.,My sister stole my clothes.
I'm ready to begin.,mi ken open.
Work is a necessary evil.,pali li ike. taso jan li pali ala la ona li moli.
There are insects everywhere.,pipi li lon ali.
mi pana e tomo tawa sina.,I gave the house to you.
I don't want to spend a lot a money.,mi wile ala pana e mani mute.
ma tomo Lesinki li ma tomo lawa pi ma Sumi.,Helsinki is the capital of Finland.
This goblet is made of gold.,jan li pali e poki ni kepeken kiwen jelo.
Why!,tan seme a!
sina wile ala wile e ni: mi kule e sina?,Do you want me to paint you?
tan seme la sina wile e ilo tawa tu pi sike tu?,Why do you need two bicycles?
I'm glad Tom came.,mi pilin pona tan ni: jan Ton li kama.
mi mute li jo e pan.,We have rice.
jan Ton kin li lon kulupu a!,Tom is part of the team too!
ma tomo ni la tomo sona li lon ala.,There aren't any schools in this town.
sin la mi ken ala ken sitelen?,Can I also take notes?
Tom's greedy.,jan Ton li wile pi mute ike.
mi pilin e ni: jan Ton li wile pona e pakala.,I thought Tom might be the one responsible for the problem.
ona li toki e ni: tenpo ni la ona li wile moku.,She said she'd like to eat now.
Raise your right hand.,o sewi e luka wawa sina.
John is good at mathematics.,"jan San li kepeken sona nanpa, li wawa."
insa pi kili ni li lupa tawa kute. ken la tan ni la ona li mani lili ni.,This melon sounds hollow. Maybe that's why it was so cheap.
The man is sick.,mije li jo e sijelo ike.
poka seme pi kon sewi li lon awen suno?,Which way is south?
"I can't do it, sorry.",mi ken ala pali e ni. o weka e ike mi.
soweli tomo li pakala e noka ona kepeken kiwen uta.,A dog bit his leg.
sina pu anu seme?,Have you touched the official Toki Pona book?
Is there way to manage this man?,nasin seme la mi ken lawa e mije ni?
mi wile e ni: sina pali e ijo. sina sona ala sona e ona?,Do you understand the mission?
meli ni li unpa lukin.,She is loaded with sex appeal.
Do you know Noah's ark?,sina sona ala sona e tomo tawa telo pi jan Nowa?
mi pilin sama.,I feel the same.
What time does the bank open?,tenpo seme la tomo mani li open?
jan Ton li pona ale ala.,Tom isn't perfect.
Put the car into the garage.,o pana e tomo lawa lon tomo pi tomo tawa.
mi pilin ike tan ni: mije tu li weka.,We are two men short.
We have other things that need to be done.,mi mute li wile pali e ijo ante.
kulupu utala li tawa lon telo tawa kepeken tenpo suli.,The army slowly advanced across the river.
What's your occupation?,sina pali e seme?
ona li kama lukin e mi mute.,They've spotted us.
"So you give up, right?",sina kama ala kama anpa anu seme?
ona li tawa tomo pi pona sijelo.,He will go to hospital.
jan Ton li moku e kili pi mute seme?,How many oranges did Tom eat?
You guys can do it if you try.,sina lukin pali la sina ken pali.
soweli tomo pi meli sama sina li jo e nimi seme?,What's your sister's dog's name?
It's not good for anybody.,ona li pona tawa jan ala.
jan Winson li pilin pona tan tomo ona.,Mr Wilson is proud of his house.
mi mute o toki ala e ijo lon tenpo suno ni.,Let's not discuss the matter today.
Toki Pona is a simple communication system.,toki pona li nasin toki lili.
I did that.,mi pali e ni.
They won't find us here.,ona li ken ala alasa e mi lon ni.
We sang and we loved it.,tenpo pini la mi mute li musi kalama uta; ni li pona tawa mi mute.
kama tomo mi la jan sama meli lili mi li kalama e ilo kalama linja.,"When I came home, my little sister was playing the guitar."
ona li tawa noka pi supa noka.,She was coming down the stairs.
You knew it all along.,sina sona e ona lon tenpo ali.
sina jo ala jo e lipu mani?,Do you have a credit card?
jan Ton li pilin monsuta tan ni: jan ale li kalama tan musi tan ona.,Tom was afraid everyone would laugh at him.
o tawa wawa.,Hurry up.
The machine was coated with dust.,ko lili li len e ilo.
ni li musi mute ala.,This isn't much fun.
mi kama lon linja pi tomo tawa.,I made the train.
"She is poor, but happy.",ona li jo e mani lili. taso ona li pilin pona.
What's the average lifespan of a butterfly?,tenpo seme la pipi waso li lon?
"Haha, your pants did not survive the wash.",a a. len noka sina li kama pakala lon telo.
nasin seme la sina sona e ni: mi wile moku?,How did you know that I was hungry?
mi pilin ike.,I feel blue.
jan sewi li pali e ali tan seme?,Why did God create the universe?
I like Toki Pona.,toki pona li pona tawa mi.
jan Ton li open e poki.,Tom opened the box.
o kalama ala tan ni: mi ken lape.,Be quiet so I can get some sleep.
I didn't get anything for you.,mi kama jo e ala tawa sina.
One day — it's like a miracle — it will disappear.,tenpo suno kama la ni li kama weka sama pali pi jan sewi.
Do you have any brothers?,sina jo ala jo e jan sama mute?
Luck doesn't exist.,nasa pona li lon ala.
ona li awen e toki ona.,She continued her talk.
Get rich!,o kama jo e mani mute!
mi sona ala e nimi pi ona mute.,I don't know their names.
He has a good head on his shoulders.,ona li sona.
The king was a great huntsman.,jan lawa li ken alasa pona e soweli.
You can go.,sina ken tawa.
You look good in white.,sina kepeken len walo la sina pona lukin.
Ankara is the capital of Turkey.,ma tomo Ankala li ma tomo lawa pi ma Tuki.
His hair has turned white.,linja lawa ona li kama walo.
I feel ugly.,pilin mi la mi ike lukin.
I was in the mountains.,mi lon nena.
Give me a little more time.,o pana e tenpo mute lili tawa mi.
jan Ton li toki e ni: jan Mewi li musi pona e musi pi jan lawa moli.,Tom said that Mary was pretty good at chess.
waso mute li lon ma kasi pi ma tomo.,There are a lot of birds in the park.
I have friends all over the world.,mi jo e jan pona lon ma ale.
We will go on a picnic if it is fine tomorrow.,"tenpo suno kama li pona la, mi mute li moku lon ma."
mi pilin e ni: nasin pi kalama musi mi li ike tawa jan Ton.,I think Tom hates the way I sing.
Many wild animals will die because of the lack of food.,soweli mute li kama moli tan moku ala.
Do you speak Japanese?,sina toki ala toki lon toki Nijon?
I saw something very unusual.,mi lukin e ijo pi nasa mute.
She didn't like that place.,ni li ike tawa ona.
sina tan ma Kolanpija.,You are from Columbia.
sina lukin ala lukin e jan sin?,Did you see anybody else?
ona li pana e lipu toki tawa mi li tawa weka.,He handed me the letter and left.
Shawiya is a Berber language.,toki Tasawi li lon kulupu toki Tamasi.
mama mije pi jan Ton li tawa weka tan kulupu mama ona.,Tom's father walked out on his family.
Tom wasn't wrong.,jan Ton li toki pakala ala.
I don't know how to fish.,mi sona ala alasa e kala.
jan Ton li awen lili e lawa ona lon sewi telo.,Tom barely managed to keep his head above water.
poki seli li lon poka lawa pi poki lete lon tomo seli.,"The stove is in the kitchen, to the right of the refrigerator."
What do you have in your bag?,seme li lon poki sina?
tenpo kama la o pali ala lon ni!,You're fired.
He cried and cried.,ona li awen pana e telo lukin.
Madman!,jan nasa o!
sina ken kepeken e ilo toki ni.,You can use that phone.
What are your wishes?,wile sina li seme?
jan ale li lukin anpa e mi.,Everybody was out to get me.
len mi li loje jelo.,My shirt is orange.
Tom gave me something.,jan Ton li pana e ijo tawa mi.
Did Tom eat all the cookies?,jan Tan li moku e pan suwi ali anu seme?
"His car isn't here, so he must have gone.","tomo tawa ona li lon ala. tan ni la, ona li weka tawa."
tenpo suno pini la mi moku ala lon insa pi tenpo suno.,I didn't eat lunch yesterday.
ale pi tenpo pimeja la jan Pasi li alasa e jan Lela.,Fadil spent the whole night looking for Layla.
We don't want to be in Boston during the winter.,mi wile ala awen lon ma tomo Pasen lon tenpo lete.
jan Ton li lon sewi pi supa lape.,Tom was sitting on the bed.
I asked Tom to keep quiet.,mi toki e ni tawa jan Ton: o kalama ala.
You're not related to me.,mi en sina li kulupu mama ala.
jan Ton li pini kepeken tenpo lili.,Tom stopped cold.
Tom needs our support.,jan Ton li wile e pona tan mi.
ona li sona toki kepeken toki Kanse en toki Inli.,He can speak French and English.
"The yellow, red and brown leaves appearing on the trees are the first sign of autumn.","lipu kasi li kama jelo, li kama loje, li kama kule lon palisa kasi, la ona li pana e ni tawa lukin: pini pi telo seli li kama."
kalama musi pi jan Ton li pona tawa mi.,I like the kind of music Tom composes.
"Tom was a friend of yours, right?",jan Ton li jan pona sina anu seme?
I'm sure Tom is going to be hungry when he gets home.,mi sona e ni: jan Ton li kama lon tomo ona la ona li wile moku.
Whom did you go with?,sina tawa poka jan seme?
I have ten of them.,mi jo e ijo luka luka tan ona.
ona li kama lukin e jan Mewi.,She found Mary.
meli sama mi li lukin e ilo pi sitelen tawa.,My sister watches television.
ni li kama anu seme?,Did that work?
mi mute li wile e sitelen pona.,We want complete sentences.
This house is not mine.,tomo ni li pi mi ala.
You insult my intelligence.,sina toki ike tawa lawa wawa mi.
You don't scare me.,sina pana ala e pilin monsuta tawa mi.
ijo mute li mun.,There are many things in the night sky.
meli ni li sike wawa e mije sama ona kepeken luka tu ona.,She embraced her brother warmly.
What was the worst day of your life?,tenpo suno sina pi ike nanpa wan li seme?
mi pini moku e telo nasa.,I don't drink anymore.
tenpo li suli.,It's late.
mi jan ni: ona li tawa ma Pasen lon poka pi jan Ton.,I'm the one who went to Boston with Tom.
jan Ton li pali e lupa suli lon ma kasi.,Tom dug a deep hole in the garden.
"jan li kama tan ni: ona li wile kama lon mi, lon tenpo ni: mi weka.",Somebody came to see me while I was out.
mi mute li ken ala kama lukin e soweli Kuki.,We can't find Cookie.
ale li pona tan ni: sina lon.,Everything is perfect because you exist.
I asked him if I could read his book.,"mi toki e ni tawa ona: ""mi wile lukin e lipu sona sina. o pana e ni tawa mi!"""
meli ni li pona lukin.,She's pretty.
ona li jo jan pona tu. ni li tan ma ante.,He has two friends who are foreigners.
mi sona ala e ona.,I didn't get them.
She died back then.,tenpo pini ni la ona li kama moli.
mi ken ala lon ala poka sina.,I can't live without you.
He isn't tired.,ona li pilin lape ala.
The troops had plenty of arms.,jan utala li jo e ilo utala mute.
jan Mewi li sona li pona.,Mary is both intelligent and kind.
Well-cooked rice is difficult to find in warteg.,pan lili pi seli pona li mute ala lon esun lili Wate.
mi wile e ni: mi jan pi toki pilin.,I would like to become a poet.
ilo tawa mun Luna nanpa tu wan pi ma Losi li lukin e poka weka mun lon tenpo nanpa wan lon sike suno nanpa luka tu luka tu luka tu en luka tu luka tu mute mute en luka tu luka en mute mute.,The Russian space probe Luna 3 saw the far side of the moon for the first time in 1959.
mi mute li open kepeken ijo pona!,Let's start with something simple.
tenpo suno kama li seli.,It's going to be hot tomorrow.
I never went back.,tenpo ala la mi tawa sin.
I know where the money is.,mi sona e ni: mani li lon seme.
Tom and Mary will probably tell John they'll do that.,ken suli la jan Ton en jan Mewi li toki e ni tawa jan Son: ona tu li pali e ni.
Who wants another piece of cake?,jan seme li wile e pan suwi?
Tom has gone mad.,jan Ton li kama nasa.
I don't want the horse.,mi wile ala e soweli tawa.
pilin sina la jan Ton li wile ala wile weka?,Do you think Tom should be fired?
jan Ton li wile awen e jan Mewi.,Tom wants to protect Mary.
tomo pali pi mi mute li lon poka pi sike lili pi linja tu lon nasin.,Our office is around the corner.
My name is Robin.,nimi mi li Wapin.
jan Ton li sona e mi mute.,Tom knows us.
We won't hurt you.,mi mute li pakala ala e sina.
"jan Ton li toki, li wile e ijo mute. mi pana e ale tawa ona.",I gave Tom everything he asked for.
meli ale li pona mute tawa jan Ton.,Tom is a ladies' man.
I feed my cat every morning and every evening.,"tenpo suno sin ali en tenpo pimeja sin ali la, mi pana e moku tawa soweli tomo mi."
jan Sami li kepeken ike e ilo naso.,Sami abused substances.
Do you want something bad to happen?,sina wile e ni anu seme: ijo ike li kama?
sina wile e ni anu seme: mi toki e wile sona tawa ona?,Do you want me to ask her?
You're sad.,sina pilin musi ala.
Tom wiped the sweat off his face.,jan Ton li pali weka e telo sijelo tan sinpin lawa ona.
soweli tomo mi li kama moli lon tenpo suno pini.,My pet cat died yesterday.
mi mute li lon kulupu.,We're in a club.
sina jo ala jo e meli sama mute?,Do you have any sisters?
I love those three kids.,mi olin e jan lili mute ni.
mi ken kama pilin taso e mama sewi li ken tawa musi.,I would only believe in a God that knows how to dance.
Santa gives nice things to people all over the world.,jan Santa li pana e ijo pona tawa jan pi ma ale.
Clean up the room.,o pona e tomo!
jan Ton li ken e ni: mi kalama musi.,Tom let me sing.
jan Ton li seli e pan suwi.,Tom baked a cake.
I fixed one.,mi pona e ijo wan.
tenpo ala la mi weka e sinpin jan tan lawa mi.,I never forget a face.
"Have you seen Tom today? ""No, I haven't.""","tenpo suno ni la, sina lukin ala lukin e jan Ton? ""lukin ala."""
We have yet to learn the truth.,"tenpo ni la, mi mute li sona ala e lon."
I saw her yesterday.,"tenpo suno pini ni la, mi lukin e ona."
tenpo pini lili la mi kama sin tan ma Oselija.,I just got back from Australia.
mi lon ma ni. ni li pona tawa mi.,I like living in this country.
sewi li toki e ni: kon sewi pona li kama.,The sky promises fair weather.
"ijo ken pi kepeken wile li nasin sewi sin, li nasin sewi pi tenpo ni.","Freedom is a new religion, the religion of our time."
telo sewi li kama.,It's raining.
jan Ton li pakala e ilo lukin pi ona sama lon tenpo ni: ilo lukin li kama anpa lon tenpo ni: jan Ton li tawa wawa lon nasin pi tomo tawa lili pi tawa wawa musi.,Tom broke his glasses when they fell off while he was racing at a go-kart course.
tenpo lili la nimi li jo e kon wan taso.,Words rarely have only one meaning.
Save Tom.,o awen e jan Ton.
I'm a little groggy.,mi pilin nasa lili.
"jan Ton en jan Mali li nimi ""Son"" e jan lili ona nanpa tu wan.",Tom and Mary named their third son John.
jan Ton li ken ala pini e ona.,Tom couldn't close it.
mi wile moku e kili.,I intend to eat the apple.
Did you put sage in the pasta?,sina pana ala pana e kasi Sapija lon pan linja?
mi weka e len mi tan sijelo.,I took off my clothes.
"lon toki Inli la, kasi kule li jo e nimi seme?",What do you call this flower in English?
tenpo pi mute lili la mi mute li pilin ala e ijo.,Sometimes we forget things.
sina wile toki e seme?,What are you insinuating?
Sign this.,o sitelen e nimi sina lon ni.
Zeus is angry.,mama sewi li pilin utala.
She lives alone in a huge apartment in Paris.,ona pi wan taso li awen lon tomo suli lon ma tomo Paki.
sinpin pi jan Ton li walo.,Tom is pale.
ona li kalama pona mute e ilo musi Wijolin.,She plays the violin very well.
This is my dog.,ni li soweli tomo mi.
tenpo pini pi ma Oselija li pona sona mute tawa jan Ton.,Tom is very interested in Australian history.
The cat is very cute.,soweli tomo li suwi mute.
"What are you doing, Tom?","jan Ton o, sina pali e seme?"
Who is he?,ona li seme?
This is my account book.,ni li lipu nanpa mi.
o awen lon tenpo lili.,"Just one moment, please."
Are you polyamorous?,sina ken olin e jan mute anu seme?
Tom and I weren't the ones who ate all the cookies.,jan Ton en mi li jan ni ala: ona li moku e suwi ale.
I have to leave now.,tenpo ni la mi wile tawa.
mi kama sona e toki Ito.,I'm learning Ido.
We met today.,mi mute li lukin e sama lon tenpo suno ni.
mi lukin e ni: soweli li wile moku.,The dog looks hungry.
ona li pana e ijo pi pona mute a tawa mi.,She gave me the most wonderful present.
Did you read the whole book?,sina lukin ale e lipu anu seme?
I'm going to make sure of that.,tenpo kama lili la mi lawa e ni.
mi kama sona lon tomo sona anu seme? mi kama jo e pali anu seme? mi kama ala wile.,I haven't decided whether to study at university or to get a job.
ona li pona e ike kepeken tenpo sama wawa sewi.,"Quick as lightning, he solved the problem."
tenpo suno ni la ona li pali ala pali?,Are they working today?
I made this chair.,mi pali e supa monsi ni.
ni li pona ala a tawa jan Ton.,That's not good enough for Tom.
You look good in those clothes.,sina pona lukin lon len ni.
mi mute li wile e ni: sina mute li musi mute lon tenpo pimeja ni.,We hope you are having a great night.
There's a hut under the bridge.,tomo lili li lon anpa pi nasin pi noka suli.
mi ante e sitelen li suli e ona.,I changed and enlarged the text.
"nimi ""Ton"" li nimi mije.",Tom is a man's name.
Is there a public toilet in this building?,tomo telo pi jan ale li lon tomo ni anu seme?
ike li kama.,Bad things will happen.
mi ken ala ken kepeken e ilo toki ni?,May I use this telephone?
Will artificial intelligence grow to kill humankind?,lawa ilo li kama li moli ala moli e jan ale?
I'm looking for Natsuko.,mi wile lukin e jan Nasuko.
kon telo li weka tan sewi.,The clouds disappeared.
She is watering the flowers.,ona li pana e telo tawa kasi kule.
tenpo ni la meli sama lili mi li ken pona e ni: ona li lukin e lipu.,My little sister can read books well now.
Have dinner with us.,sina en mi mute o moku.
"jan toki pi nasin sewi li toki e ni: ""lon ala nanpa wan a! ale li lon ala.""","Vanity of vanities, says the Preacher; ""Vanity of vanities, all is vanity."""
mi ali li pilin pona nasa.,We are all lucky.
"I'm good-looking too, so bad things happen to me.",mi pona lukin kin. tan ni la ike li kama lon mi.
They are gathering nuts.,ona li alasa e sike lili.
nasin sewi pi mi mute li ken pali e ni: mi mute li olin ala e sama. taso ona li ken ala kin pali e ni: mi mute li olin e sama.,"We have just enough religion to make us hate, but not enough to make us love one another."
Since when is your skin jaundiced?,tenpo seme li pini la selo sina li jo e kule jelo ni?
mije lili li wile lape.,The boy was tired.
tenpo pini la jan Ton li jo e pali ala.,Tom didn't have a job.
"If I don't go, who will?",mi tawa ala la jan seme li tawa?
Tom isn't home.,jan Ton li lon ala tomo ona.
I told everything.,mi toki e ale.
o toki e pona pi ante toki ni.,Rate the quality of this translation.
nasa a!,How strange!
It's difficult to keep secrets.,jan li ken ala len e sona.
jan ali li olin e jan Ton.,Everybody loved Tom.
ilo tawa pi sike tu sina li pona mute. ilo mi li pona lili.,Your bike is better than mine.
The right way.,nasin pona.
Calm down.,o pilin utala ala.
He isn't there.,ona li lon ala ni.
Do that again.,o pali e ni lon tenpo sin.
He will come this afternoon.,sinpin pi tenpo pimeja ni la mije ni li kama.
sinpin pi tenpo pimeja ni la suno li lon ala lon?,Will it clear up this afternoon?
Tom believes God exists.,jan Ton li pilin e ni: sewi li lon.
Tom and Mary are so different.,jan Ton en jan Mewi li jan ante kin.
sona pi nasin jan li toki. ona li lukin kama lon.,History is a story that attempts to be true.
Tom hasn't been able to come to school because he's in the hospital.,jan Ton li ken ala tawa tomo sona tan ni: ona li lon tomo pi pona sijelo.
jan Ton li tawa musi poka jan Mali.,Tom danced with Mary.
jan Ton li pilin monsuta tan pipi.,Tom is afraid of spiders.
wile mi la sina o toki ala.,I want you to be quiet.
toki! tenpo suno kama pona!,Hello! Good morning!
Is it easy to learn to speak Esperanto?,kama sona pi toki Epelanto li pona ala pona?
He hasn't told me when he will return.,ona li toki ala e tenpo pi kama sin ona tawa mi.
Me too.,mi sama.
meli lili li tawa. mije pi suli mute li tawa meli ni.,The young girl was chased by the old man.
I read his book.,mi lukin e sitelen pi lipu ona.
Jesus loves you.,jan Jesu li olin e sina.
Look up the word in the dictionary.,o alasa e nimi ni lon lipu nimi.
tenpo suno ale la suno li tawa lon sewi.,The sun rises every day.
The blind young man has overcome his handicap.,jan lili pi lukin ala li utala pona e pakala ona.
sina sina.,You're you.
I'm so disappointed in him.,mi pilin ike a tan ni: ona li pali sama ala pilin mi.
lipu ni li ijo pi sike suno mute.,That book is very old.
He ate all of the apple.,ona li moku e kili loje ale.
mi wile ala e ona.,I don't want it.
jan sewi li pana e ona li weka e ona.,"The Lord gave, the Lord has taken."
Look at those fish in the pond.,o lukin e kala lon telo.
Layla's baby just wants his mom.,jan lili pi jan Lela li wile taso e mama meli ona.
I did that yesterday.,mi pali e ona lon tenpo suno pini.
o moku e pan mun.,Have a croissant.
I know that Tom knows I know.,mi sona e ni: jan Ton li sona e ni: mi sona.
It looks exactly the same.,ona li lukin sama ali.
palisa pi kasi Oliwe li sitelen pi awen pona.,An olive branch symbolizes peace.
What is life?,lon li seme?
o olin e jan poka.,Love your neighbour.
I'm free.,mi ken.
jan Ton li lawa e jan Mewi tawa esun.,Tom took Mary to the store.
I think the world would unite if I were the leader of the United States.,mi pilin e ni: mi kama lawa e ma Mewika la ma ali li kama wan.
There is a dog on the bridge.,soweli tomo li lon nasin pi noka suli.
When are you getting out of bed?,tenpo seme la sina weka e supa lape?
ona li mije pi pona mute.,He is a very decent fellow.
ken pona la jan Ton li pana ala e ike.,I hope Tom wasn't any trouble.
ale la jaki li lon.,Disgusting stuff is everywhere.
I've worked with Tom before.,tenpo pini la mi pali lon poka pi jan Ton.
Two families live in the same house.,kulupu mama tu li lon tomo wan.
I have to bathe the cat today.,"tenpo suno ni la, mi wile telo e soweli tomo."
We're people.,mi mute li jan.
mi pilin e ni: sewi li meli.,I think God is a woman.
ona li awen a sona e ni: ona li lon seme.,He isn't lost.
The sky was clear when I left home.,"mi tawa tan tomo, la sewi kon li suno."
jan Ton li kama lon tomo pi nasin lawa lon tenpo suno ni.,Tom will appear in court today.
Have you told Tom we're here?,sina toki ala toki e ni tawa jan Ton: mi mute li lon tomo ni?
You should think before you begin to speak.,o pilin. ni li pini la o toki.
Irish is a beautiful language.,toki Alan li toki pi kute pona.
mi pilin e ni: sina jo e nasin.,I'm assuming you have a plan.
I stay in Osaka.,mi awen lon ma tomo Osaka.
Tom drives.,jan Ton li lawa e tomo tawa.
"nimi pi toki Kanse ""anticonstitutionnellement"" li jo e sitelen mute luka li nimi pi suli nanpa wan lon toki Kanse.","Being 25 letters long, 'anticonstitutionnellement' is the longest word in French."
The girl broke into tears.,meli lili li pana e telo pi lukin sike.
mi pali e ni tawa jan Ton li wile ala e mani ona.,I did that for Tom for free.
I will give you this book.,mi pana e lipu toki ni tawa sina.
ona li pana ala pana e kasi kule lon esun ni?,Do they sell flowers at this store?
I don't know how to hunt.,mi ken ala alasa.
mi mute li wawa ala.,We're not sure.
ni li musi ala.,That's not interesting.
jan Ton li awen lon weka pi ma tomo.,Tom is still out of the town.
jan Ton li toki e ni: jan Mewi li wile ala moku e moku tan poki lete.,Tom said that Mary shouldn't eat any of the food in the refrigerator.
Is this your favorite song?,kalama musi ni li pona mute tawa sina?
God created the devil.,jan sewi li mama pi akesi ike suli.
mama mi li wile sona e sina.,My mom would like to meet you.
I think we can do it.,pilin mi la mi mute li ken pali e ona.
Tom bought a Persian rug.,jan Ton li kama jo e len anpa pi ma Ilan lon esun.
Wires transmit electricity.,linja li nasin pi wawa tawa.
o lukin ala e toki pi musi ala.,Skip the dull chapters.
I had a sound sleep last night.,mi lape pona lon tenpo pimeja pini ni.
"kalama li pona seme? ""mi ken ala kute e sina.""","How's the sound? ""I can't hear you."""
jan Ton li uta e sewi sinpin pi jan Mewi.,Tom kissed Mary on her forehead.
I was watching a soccer match.,mi lukin e musi ni: noka li tawa sike.
Do you like Europeans?,jan tan ma Elopa li pona ala pona tawa sina?
Why didn't you eat your chocolate?,tan seme la sina moku ala e suwi sina?
Cook for me.,o seli moku tawa mi.
o pana e tomo tawa lon tomo ona.,Put the car into the garage.
You cannot buy happiness.,sina ken ala esun e pilin pona.
Were you working last night?,sina pali ala pali lon tenpo pimeja pini?
mi mute li jo e pakala sama.,We're in the same fix.
How many books did you buy?,sina kama jo e lipu pi mute seme lon esun?
mi pilin ala e ni: jan Mewi li pona lukin sama jan Eli.,I don't think Mary is as pretty as Alice.
I don't want to learn English.,mi wile ala kama sona e toki Inli.
mi toki e ni tawa jan Ton: ona o pali ala e ni.,I've asked Tom not to do that.
seme li kama tawa suno?,What's happened to the light?
He doesn't know where I live.,mi awen lon seme? ona li sona ala.
palisa li kiwen utala tawa pini.,The arrow hit the target.
sina pona lukin a!,You're handsome!
"tomo pali Tatowepa li jo ala e ilo ""o pini pali"".","Tatoeba has no ""Log Out"" button."
tenpo ni la jan Muka li jo e sike suno mute.,Muiriel has turned twenty.
o kama tawa tomo.,Please come home.
o tawa ala!,Stand still!
tan seme la soweli tomo li lon ni?,Why are there cats in here?
I don't want to attend the party.,mi wile ala lon tenpo kulupu musi.
We won't do it if Tom leaves.,jan Ton li tawa weka la mi pali ala e ni.
jan Ton li pali e pan suwi.,Tom made a cake.
Tom looks like he's motivated.,lukin la jan Ton li wawa.
I knew Tom would be willing to show me how to do that.,mi sona e ni: jan Ton li wile pana e ijo ni tawa lukin mi: kepeken ona la jan li ken pali e ni.
I don't eat meat.,mi moku ala e soweli.
Luck's on my side today.,tenpo suno ni la nasa pona li lon poka mi.
We study hard.,mi mute li kama sona kepeken wawa.
jan pi pona sijelo li pana e sona pona pi pona sijelo tawa mi mute.,Doctors advise us on our health.
sina lon ala tan seme?,Why aren't you here?
mi mute li moku lon tenpo pi suno sewi.,We have lunch at midday.
jan lawa li pona.,The manager is nice.
You are the only adult here.,sina jan suli wan lon ni.
She made him a simple dinner.,ona li pali e moku pona tawa ona.
Nobody wants to help them.,jan ala li wile pana e pona tawa ona.
sina open anu seme?,Will you be ready?
How small is it?,ona li lili seme?
That's what I'll do.,mi pali e ni kin.
meli ona li mama pi jan lili. ona li kama lon ale li jo e sijelo pona.,"His wife gave birth to a baby, who was born healthy."
How many died?,jan pi mute seme li moli?
mi pana e ken tawa ona.,I gave him a chance.
toki Inli li jo e nimi mute pi toki Lasina.,English is full of Romance words.
Tom dyed his hair the same color as Mary's.,jan Ton li kule e linja ona sama linja pi jan Mewi.
ona li lon ma kasi.,They're in the garden.
jan Ton li jo e noka wan taso. sina sona ala sona e ni?,Did you know that Tom only had one leg?
jan Ton li jan pi tawa mun.,Tom is an astronaut.
I think Tom will be able to help Mary tomorrow.,pilin mi la jan Ton li ken pana e pona tawa jan Mewi lon tenpo suno kama.
jan li soweli.,Humans are cute animals.
mi kama ala jo e ona.,I didn't get them.
She tasted a cake.,ona li pilin e pan suwi kepeken uta.
mi lukin e jan lawa meli.,I saw the queen.
Tom came.,jan Ton li kama.
tomo ona li lon ma tomo lili.,She is living in the village.
kala li pona tawa mi tu.,We both like seafood.
sina wile ala wile jan pona mi?,Would you like to be my friend?
"Where is my sandwich? ""It's in the kitchen.""","pan mi li lon seme? - ""ona li lon tomo seli."""
I have a tool.,mi jo e ilo.
Darkness still covered the valley.,pimeja li lon anpa nena.
Women drive men crazy.,meli li nasa e mije.
"Hold on a moment, please.",pona sina la tenpo lili la o awen.
Don't you get that?,sina kama ala sona e ni anu seme?
ona li awen lon weka tan pakala pi ma ale.,She lives remote from the wear and tear of the world.
Does Tom want to stay?,jan Ton li wile ala wile awen?
mi toki e ike mi.,I confessed my sin.
Is the rook that important when playing chess?,tomo wawa li suli ni lon musi pi mije lawa ma anu seme?
ni li tan nanpa wan.,That's the most important reason.
This is the second time I've flown.,ni li tenpo nanpa tu ni: mi tawa lon kon.
jan Ton li toki tawa jan seme?,I wonder who Tom was talking to.
ona li kama sin lon ni.,She came here once again.
ona li wile sona e ali.,He wants to know everything.
ona li lukin e lipu Inli. ni li pona tawa ona.,He likes reading English literature.
"You maniacs! You blew it up! Ah, damn you! Damn you all to Hell!",sina mute li jan nasa a! sina mute li pakala e ali a! pakala a! mi pakala e sina ali tawa ma anpa ike seli a!
Don't stop thinking of me.,o awen pilin lon mi.
mi jo e meli sama.,I have sisters.
You should be a teacher.,sina wile pana e sona.
I speak English.,mi toki kepeken toki Inli.
Can I have a glass of apple juice?,mi ken jo e poki pi telo kili jelo anu seme?
It was simple.,ona li pona.
The volcano shoots out flames and lava.,nena seli li pana e seli e ma seli.
kala li moku e telo anu seme?,Do fish drink water?
I was a rich man.,mi jan pi mani mute.
tenpo kama la ona mute li pali e tomo.,They'll build a house.
o nanpa tan luka luka tawa ala.,Count from 10 down to zero.
The sheep is bleating.,soweli li mu.
tenpo kama la sina kama jo e ala.,You'll get nothing.
Tom can't intimidate us.,jan Ton li ken ala akesi tawa pilin mi.
He has three older sisters.,mije ni li jo e meli sama tu wan. ni li suli. ona li lili.
tenpo suno ni la mi awen lon tomo.,Today I'm staying at home.
Tom loves his husband.,jan Ton li olin e mije ona.
ona li pana e telo seli lon poki.,She poured boiling water into the cup.
